"","weeks","delta","group","emp_rate_diff"
"1",1,0,1,0
"2",2,0,1,0
"3",3,0,1,0
"4",4,0,1,0
"5",5,0,1,0
"6",6,0,1,0
"7",7,0,1,0
"8",8,0,1,0
"9",9,0,1,0
"10",10,0.12172878667724,1,-0.127757119294367
"11",11,0.136054421768707,1,-0.131901296459418
"12",12,0.1225,1,-0.132590022051043
"13",13,0.0545454545454545,1,-0.134653242922088
"14",14,0.0991095625241966,1,-0.132811714838046
"15",15,-0.0111111111111111,1,-0.133958605522811
"16",16,-0.0300925925925926,1,-0.134670978345049
"17",17,0.041974619997211,1,-0.131227350386928
"18",18,0.0149503203640078,1,-0.127222100701732
"19",19,0.00531914893617019,1,-0.12878872972989
"20",20,0.011461908030199,1,-0.131242129906061
"21",21,0.0116381590548404,1,-0.12479530366
"22",22,0.0182598039215686,1,-0.121706384161085
"23",23,0.0601626016260163,1,-0.118963305409895
"24",24,0.042480424804248,1,-0.114958055724699
"25",25,0.0213235294117647,1,-0.116577891021738
"26",26,-0.00467457749011146,1,-0.106991894911707
"27",27,0.0379065720787043,1,-0.10867971599676
"28",28,0.00116959064327485,1,-0.102158992155031
"29",29,0.000611453150037911,1,-0.0974177224169834
"30",30,0.0145508140938137,1,-0.0903560681749658
"31",31,0.00487989628399538,1,-0.090684173499731
"32",32,0.0247627203311211,1,-0.0891737066442806
"33",33,-0.00905664874204937,1,-0.0874740619439206
"34",34,0.0205136601796407,1,-0.0888633367424757
"35",35,0.0180863092951005,1,-0.0919404326260841
"36",36,-0.00127665870516369,1,-0.0912990014956873
"37",37,0.00890513685789274,1,-0.0921975962590081
"38",38,0.0129779136610456,1,-0.0921739490283944
"39",39,0.00468531468531469,1,-0.0905363783083953
"40",40,0.0388574437277873,1,-0.0873351344640651
"41",41,0.0366440632894562,1,-0.0839476686786519
"42",42,0.0298070841239722,1,-0.0863419507782894
"43",43,0.0445398104357642,1,-0.0834481209319374
"44",44,0.0388072986203827,1,-0.0817869029813246
"45",45,0.0356802728621736,1,-0.079073383268402
"46",46,0.0463849037503361,1,-0.0764278493434937
"47",47,0.0432588391600071,1,-0.0755115191572127
"48",48,0.0395124417479997,1,-0.0714323718763487
"49",49,0.0401434748427673,1,-0.0715890347791645
"50",50,0.0402955385052572,1,-0.0648584417657387
"51",51,0.0135050950028924,1,-0.0668418532334632
"52",52,0.0283555273726485,1,-0.0624316447240073
"53",53,0.0319151083856966,1,-0.0555680360383795
"54",54,0.0427614091994413,1,-0.0471703132666876
"55",55,0.0485594549346218,1,-0.046177129580912
"56",56,0.0396641112687559,1,-0.0463042334454606
"57",57,0.0404327751773753,1,-0.038604103976873
"58",58,0.0524018150335896,1,-0.0362600722422896
"59",59,0.059905510903696,1,-0.0365379272020006
"60",60,0.0401599205533867,1,-0.0293639486145679
"61",61,0.0539639660264188,1,-0.02695193109197
"62",62,0.0512296862779178,1,-0.0252700218145703
"63",63,0.0553198523005831,1,-0.0281904547953628
"64",64,0.04324905724784,1,-0.0280397037002004
"65",65,0.0365145923208577,1,-0.02652923684475
"66",66,0.0280591466679831,1,-0.0245901639344263
"67",67,0.034433548096914,1,-0.0274958173960852
"68",68,0.0413594278427676,1,-0.0258050404072053
"69",69,0.0423185097665634,1,-0.0235142149415027
"70",70,0.0398560048689846,1,-0.0207120181137786
"71",71,0.0448560198239767,1,-0.0228580042919724
"72",72,0.0398059084288233,1,-0.0212499926102404
"73",73,0.0363658131842431,1,-0.0208066070362335
"74",74,0.0280265780730897,1,-0.0195503479098804
"75",75,0.0228792751668568,1,-0.0219741890477851
"76",76,0.016708949431076,1,-0.024962607816592
"77",77,0.0208277154789701,1,-0.0212293012834534
"78",78,0.0222475165562914,1,-0.0213623169556555
"79",79,0.0170672096066572,1,-0.0169757556768133
"80",80,0.0197413677359934,1,-0.0177856733253327
"81",81,0.0296272496629518,1,-0.0136680992947213
"82",82,0.0220847710930103,1,-0.0127281218778266
"83",83,0.00355758323057953,1,-0.012899564299776
"84",84,0.0182552644177274,1,-0.0097130999745792
"85",85,0.0150297863037656,1,-0.00874356351941735
"86",86,0.0237268439679358,1,-0.00816420636938159
"87",87,0.0207141685011626,1,-0.0104845908733514
"88",88,0.00994960054763133,1,-0.0092371994584784
"89",89,0.0200029817142288,1,-0.00671285759046542
"90",90,0.0200567357030643,1,0.00107594899292357
"91",91,0.0316046736332709,1,0.00646160576519483
"92",92,0.0317829247460111,1,0.013898659793205
"93",93,0.0341599719019949,1,0.00843910542526588
"94",94,0.0369069324314699,1,0.00515805217761439
"95",95,0.0353537625620762,1,0.00428014874108051
"96",96,0.0439263198110093,1,0.00552754015595347
"97",97,0.0495191956101654,1,0.0058142628271447
"98",98,0.0433761608791629,1,0.00156367312433126
"99",99,0.0428594347558385,1,0.00315690528692958
"100",100,0.0465004984331124,1,0.00380424822497977
"101",101,0.037395036586865,1,0.00656210649530309
"102",102,0.04868798203032,1,0.0107683576407158
"103",103,0.0427215967418926,1,0.0137892913516166
"104",104,0.0410681017269798,1,0.00648229709198184
"105",105,0.0438674181427804,1,0.00809030877371375
"106",106,0.0429139799216396,1,0.00871400448115023
"107",107,0.0444190248955363,1,0.0100234698763841
"108",108,0.0439016440198016,1,0.0132926995087288
"109",109,0.0389178084981945,1,0.0101535296447595
"110",110,0.0505090991699498,1,0.0161776616436008
"111",111,0.0468874511440823,1,0.0153086259185471
"112",112,0.0387479073046083,1,0.0114038769634591
"113",113,0.0436430461054871,1,0.0125241645137835
"114",114,0.0484410115255355,1,0.0187049594154405
"115",115,0.0430516008258935,1,0.0137479086980427
"116",116,0.0388435766043672,1,0.015896850780063
"117",117,0.0381507660566233,1,0.0165441937181132
"118",118,0.0380845218101931,1,0.0203159270009992
"119",119,0.0406654047171532,1,0.0206085614798437
"120",120,0.0365364762794549,1,0.0185808114547186
"121",121,0.0329695299708478,1,0.0164555166033118
"122",122,0.0402032495777809,1,0.0171176390604955
"123",123,0.0493861994946227,1,0.0197838643121907
"124",124,0.0457600674678473,1,0.0186192382044659
"125",125,0.0460229215019521,1,0.0168782108505318
"126",126,0.0440945157118389,1,0.016833872293131
"127",127,0.0417926640025268,1,0.0149775646899553
"128",128,0.0363129044966743,1,0.015577613166778
"129",129,0.0414138732175818,1,0.0190035057019384
"130",130,0.0365991810017708,1,0.0170733005030949
"131",131,0.0425674803047914,1,0.0194853180256928
"132",132,0.0461475056954244,1,0.0217850112028755
"133",133,0.0523164104027572,1,0.0239487328040294
"134",134,0.0524954355616834,1,0.0276436125874209
"135",135,0.0494265062590656,1,0.026458295152909
"136",136,0.0534960869459255,1,0.023387111076954
"137",137,0.0562432152241591,1,0.026632693478685
"138",138,0.0500891903601958,1,0.0274810378769517
"139",139,0.0477758281152085,1,0.0270080932646775
"140",140,0.0529498688395643,1,0.026827783131248
"141",141,0.0453502859879187,1,0.0243330003015022
"142",142,0.0450391640808862,1,0.0223200297955105
"143",143,0.0482295834257326,1,0.024386206570383
"144",144,0.0443263886430417,1,0.0201503963867032
"145",145,0.0452219874969886,1,0.0239960272652568
"146",146,0.0526529568668979,1,0.0207208858252588
"147",147,0.044086319513293,1,0.0194971416409996
"148",148,0.0527897583520928,1,0.0182733974567404
"149",149,0.0433460587492986,1,0.0202479412129847
"150",150,0.0529353694318367,1,0.0221781464118282
"151",151,0.0463226620339837,1,0.0228166216383984
"152",152,0.0510639723677359,1,0.0264376038261219
"153",153,0.0503653895380933,1,0.0279244234509586
"154",154,0.0495126218096151,1,0.0300438064947118
"155",155,0.0498684204074535,1,0.0286693112152903
"156",156,0.0504646106237682,1,0.032597707400992
"157",157,0.053714038317451,1,0.0343564701778863
"158",158,0.050679946585983,1,0.0328105324765153
"159",159,0.0517330079706896,1,0.0337712012201971
"160",160,0.0446155657698822,1,0.0307384438939894
"161",161,0.0495435561553613,1,0.0310990641608484
"162",162,0.0618000624159245,1,0.0309128422197655
"163",163,0.0571407164380534,1,0.0291865943849652
"164",164,0.0565858521054057,1,0.0324321767866961
"165",165,0.0519721297795115,1,0.0269194161498763
"166",166,0.0525749970286261,1,0.0268218713235946
"167",167,0.0482462029528336,1,0.0264996778064829
"168",168,0.0525466881964818,1,0.0306911494327621
"169",169,0.0496355573678576,1,0.0294526257293692
"170",170,0.0444488606253313,1,0.0295206115173837
"171",171,0.0468276349039959,1,0.0293255218648206
"172",172,0.0468207022501035,1,0.0298960113033763
"173",173,0.0486858360338747,1,0.0307680029322566
"174",174,0.0521874766153104,1,0.0323671469025084
"175",175,0.0583773763157192,1,0.0319385408476349
"176",176,0.0533968326796019,1,0.0361979982619285
"177",177,0.0587878384819162,1,0.0390149746087861
"178",178,0.0561831299153769,1,0.0379419815196893
"179",179,0.0503462895893624,1,0.0345101771768753
"180",180,0.050315125736498,1,0.034915136001135
"181",181,0.0528972607020523,1,0.0349387832317487
"182",182,0.0553387891538428,1,0.0357723481108818
"183",183,0.0580904550091357,1,0.0364492500871992
"184",184,0.0576493277506427,1,0.0408358113660414
"185",185,0.0545751394005899,1,0.0421423208574486
"186",186,0.0537618563202545,1,0.0403333077155001
"187",187,0.0540065231388367,1,0.0367743995081377
"188",188,0.0464549844155031,1,0.0357989512453223
"189",189,0.0507786408437401,1,0.0343860292161534
"190",190,0.0515857529032783,1,0.0344687945233014
"191",191,0.0508885689647963,1,0.0328016647650352
"192",192,0.0561691552707447,1,0.0352136822876331
"193",193,0.0494191808482488,1,0.0335849792791141
"194",194,0.0509566948274589,1,0.0316695535994042
"195",195,0.0536952122393612,1,0.0319030700017144
"196",196,0.053470330305863,1,0.0317227598682849
"197",197,0.0500062098818911,1,0.030454677126625
"198",198,0.0505895572483437,1,0.032813488380342
"199",199,0.0496680842597743,1,0.0352166381914598
"200",200,0.0424028325807901,1,0.0309808280077799
"201",201,0.0488070083687893,1,0.0339928940072005
"202",202,0.0509222418060687,1,0.0351575201149256
"203",203,0.0507835876720526,1,0.0359171873983908
"204",204,0.0561116518156347,1,0.0366000011823615
"205",205,0.051837467211047,1,0.0360886298203401
"206",206,0.0532014949994337,1,0.0394760956057534
"207",207,0.052956366683906,1,0.041211211152034
"208",208,0.0468296361891748,1,0.0365556626249608
"209",1,0,0,0
"210",2,0,0,0
"211",3,0,0,0
"212",4,0,0,0
"213",5,0,0,0
"214",6,0,0,0
"215",7,0,0,0
"216",8,0,0,0
